full_name;age;birthday;league;season;position;Current_Club;nationality;goals_overall
Oleksandr Zinchenko                                                                                 ;23;850608000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester City                                                                                     ;Ukraine                                                                                             ;0
Oliver Skipp                                                                                        ;20;969058800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Tottenham Hotspur                                                                                   ;England                                                                                             ;0
Onyinye Wilfred Ndidi                                                                               ;23;850694400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Leicester City                                                                                      ;Nigeria                                                                                             ;2
Oriol Romeu                                                                                         ;29;685666800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Southampton                                                                                         ;Spain                                                                                               ;1
Pascal Groãÿ                                                                                        ;29;676940400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Brighton & Hove Albion                                                                              ;Germany                                                                                             ;3
Paul Pogba                                                                                          ;27;732153600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester United                                                                                   ;France                                                                                              ;13
Pedro Obiang                                                                                        ;28;701654400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;Equatorial Guinea                                                                                   ;0
Pedro Rodriguez                                                                                     ;33;554425200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Chelsea                                                                                             ;Spain                                                                                               ;8
Philip Billing                                                                                      ;24;834447600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Huddersfield Town                                                                                   ;Denmark                                                                                             ;2
Philip Foden                                                                                        ;20;959468400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester City                                                                                     ;England                                                                                             ;1
Pierre-Emile Hã¸Jbjerg                                                                              ;25;807577200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Southampton                                                                                         ;Denmark                                                                                             ;4
Rafael Euclides Soares Camacho                                                                      ;20;958950000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Liverpool                                                                                           ;Portugal                                                                                            ;0
Rajiv Van La Parra                                                                                  ;29;675990000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Huddersfield Town                                                                                   ;Netherlands                                                                                         ;0
Riyad Mahrez                                                                                        ;29;667094400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester City                                                                                     ;Algeria                                                                                             ;7
Robbie Brady                                                                                        ;28;695347200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Burnley                                                                                             ;Republic Of Ireland                                                                                 ;0
Robert Kenedy Nunes Do Nascimento                                                                   ;24;823737600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Newcastle United                                                                                    ;Brazil                                                                                              ;1
Robert Snodgrass                                                                                    ;33;557967600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;Scotland                                                                                            ;2
Romain Saã¯Ss                                                                                       ;30;638406000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Wolverhampton Wanderers                                                                             ;Morocco                                                                                             ;2
Ross Barkley                                                                                        ;26;755049600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Chelsea                                                                                             ;England                                                                                             ;3
Ruben Loftus-Cheek                                                                                  ;24;822355200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Chelsea                                                                                             ;England                                                                                             ;6
Ryan Fraser                                                                                         ;26;762048000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Afc Bournemouth                                                                                     ;Scotland                                                                                            ;7
Ryan Fredericks                                                                                     ;27;718671600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;England                                                                                             ;1
Ryan Giles                                                                                          ;20;948844800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Wolverhampton Wanderers                                                                             ;England                                                                                             ;0
Rãºben Diogo Da Silva Neves                                                                         ;23;858211200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Wolverhampton Wanderers                                                                             ;Portugal                                                                                            ;4
Samir Nasri                                                                                         ;33;551660400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;France                                                                                              ;0
Scott Mctominay                                                                                     ;23;850003200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester United                                                                                   ;England                                                                                             ;2
Sean Longstaff                                                                                      ;22;878169600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Newcastle United                                                                                    ;England                                                                                             ;1
Solomon March                                                                                       ;26;774658800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Brighton & Hove Albion                                                                              ;England                                                                                             ;1
Stefan Marius Johansen                                                                              ;29;663292800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Fulham                                                                                              ;Norway                                                                                              ;0
Steven Davis                                                                                        ;35;473385600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Southampton                                                                                         ;Northern Ireland                                                                                    ;0
Steven Defour                                                                                       ;32;577062000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Burnley                                                                                             ;Belgium                                                                                             ;0
Stuart Armstrong                                                                                    ;28;701910000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Southampton                                                                                         ;Scotland                                                                                            ;3
Sullay Kaikai                                                                                       ;25;809391600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Crystal Palace                                                                                      ;England                                                                                             ;0
Sung-Yeung Ki                                                                                       ;31;601603200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Newcastle United                                                                                    ;South Korea                                                                                         ;0
Tom Cairney                                                                                         ;29;664329600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Fulham                                                                                              ;Scotland                                                                                            ;1
Tom Cleverley                                                                                       ;31;618879600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Watford                                                                                             ;England                                                                                             ;1
Tom Davies                                                                                          ;22;899161200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Everton                                                                                             ;England                                                                                             ;0
Vicente Iborra De La Fuente                                                                         ;32;569289600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Leicester City                                                                                      ;Spain                                                                                               ;0
Victor Moses                                                                                        ;29;660960000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Chelsea                                                                                             ;Nigeria                                                                                             ;0
Victor Wanyama                                                                                      ;29;677804400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Tottenham Hotspur                                                                                   ;Kenya                                                                                               ;1
Vã­Ctor Camarasa                                                                                    ;26;770079600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Cardiff City                                                                                        ;Spain                                                                                               ;5
Wilfried Zaha                                                                                       ;27;721353600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Crystal Palace                                                                                      ;Cã´Te D'Ivoire                                                                                      ;10
Will Hughes                                                                                         ;25;798073200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Watford                                                                                             ;England                                                                                             ;2
Xherdan Shaqiri                                                                                     ;28;687049200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Liverpool                                                                                           ;Switzerland                                                                                         ;6
Youri Tielemans                                                                                     ;23;862959600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Leicester City                                                                                      ;Belgium                                                                                             ;3
Yves Bissouma                                                                                       ;24;841359600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Brighton & Hove Albion                                                                              ;Mali                                                                                                ;0
Ä°Lkay Gã¼Ndoäÿan                                                                                   ;29;656722800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester City                                                                                     ;Germany                                                                                             ;6
