full_name;age;birthday;league;season;position;Current_Club;nationality;goals_overall
Tim Ream                                                                                            ;32;560386800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Fulham                                                                                              ;Usa                                                                                                 ;0
Timothy Eyoma                                                                                       ;20;949104000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Tottenham Hotspur                                                                                   ;England                                                                                             ;0
Timothy Fosu-Mensah                                                                                 ;22;883699200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Fulham                                                                                              ;Netherlands                                                                                         ;0
Toby Alderweireld                                                                                   ;31;604800000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Tottenham Hotspur                                                                                   ;Belgium                                                                                             ;0
Tom Smith                                                                                           ;28;703206000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Huddersfield Town                                                                                   ;England                                                                                             ;0
Trent Alexander-Arnold                                                                              ;21;907714800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Liverpool                                                                                           ;England                                                                                             ;1
Tyias Browning                                                                                      ;26;769993200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Everton                                                                                             ;England                                                                                             ;0
Tyreke Johnson                                                                                      ;21;910051200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Southampton                                                                                         ;England                                                                                             ;0
Tyrone Mings                                                                                        ;27;731980800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Afc Bournemouth                                                                                     ;England                                                                                             ;0
Victor Nilsson Lindelã¶F                                                                            ;26;774399600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester United                                                                                   ;Sweden                                                                                              ;1
Vincent Kompany                                                                                     ;34;513471600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester City                                                                                     ;Belgium                                                                                             ;1
Virgil Van Dijk                                                                                     ;29;678927600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Liverpool                                                                                           ;Netherlands                                                                                         ;4
Wes Morgan                                                                                          ;36;443491200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Leicester City                                                                                      ;Jamaica                                                                                             ;3
Wesley Hoedt                                                                                        ;26;762912000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Southampton                                                                                         ;Netherlands                                                                                         ;0
Willy Boly                                                                                          ;29;665539200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Wolverhampton Wanderers                                                                             ;France                                                                                              ;4
Yann Valery                                                                                         ;21;919641600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Southampton                                                                                         ;France                                                                                              ;2
Yerry Fernando Mina Gonzã¡Lez                                                                       ;26;780274800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Everton                                                                                             ;Colombia                                                                                            ;1
Zechariah Medley                                                                                    ;20;962924400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Arsenal                                                                                             ;England                                                                                             ;0
Zeze Steven Sessegnon                                                                               ;20;958604400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Fulham                                                                                              ;England                                                                                             ;0
