show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
80100106;TV Show;Dramaworld                                                                     ;;Liv Hewson, Sean Dulake, Justin Chon, Noo-Ri Bae, Sa-hee Kim, Jimmy Shubert                                                                                                                                                                          ;United States, South Korea, China                  ;May 23, 2016      ;2016;TV-14   ;1 Season;Romantic TV Shows, TV Comedies, TV Dramas                        ;"A huge fan of a Korean TV drama is transported to a magical realm where she has the power to alter her favorite show's story line as a ""Facilitator.""      "
80100172;TV Show;Dark                                                                           ;;Louis Hofmann, Oliver Masucci, Jördis Triebel, Maja Schöne, Karoline Eichhorn, Sebastian Rudolph, Anatole Taubman, Mark Waschke, Stephan Kampwirth, Anne Ratte-Polle, Andreas Pietschmann, Lisa Vicari, Michael Mendl, Angela Winkler              ;Germany, United States                             ; June 21, 2019    ;2019;TV-MA   ;2 Season;Crime TV Shows, International TV Shows, TV Dramas                ;A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.                      
80100929;TV Show;Cable Girls                                                                    ;;Blanca Suárez, Nadia de Santiago, Ana Fernández, Maggie Civantos, Ana Polvorosa, Yon González, Martiño Rivas, Nico Romero, Borja Luna, Sergio Mur, Concha Velasco, Antonio Velázquez, Ernesto Alterio, Ira del Río, Angela Cremonte, Andrea Car;Spain                                              ; August 9, 2019   ;2019;TV-MA   ;4 Season;International TV Shows, Romantic TV Shows, Spanish-Language TV Sh;In 1920s Madrid, four women at the National Telephone Company ring in revolution as they manage romance, friendship and the modern workplace.              
80100933;TV Show;Miss Dynamite                                                                  ;;Camila Sodi, Iván Sánchez, José María de Tavira, Hugo Stiglitz, José Sefami, Mauricio Isaac, Paulina Gaitán, Mara Cuevas, Mario Zaragoza, Alejandro Durán, Emilio Savinni, Pakey Vázquez, Anilú Pardo, Claudette Maillé, Rodrigo Murray, Ca;Mexico                                             ;May 5, 2018       ;2015;TV-14   ;1 Season;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;Wealthy, beautiful Valentina falls in love, only to realize that her man and her family are involved with one of Mexico's most powerful drug cartels.      
80101401;TV Show;The Deep                                                                       ;;Vincent Tong, Ashleigh Ball, Kathleen Barr, Michael Dobson, Brian Drummond                                                                                                                                                                           ;Canada, Australia                                  ; November 1, 2019 ;2019;TV-Y7   ;3 Season;Kids' TV                                                         ;The Nektons are a family of underwater explorers who discover the hidden secrets of the oceans, including sunken cities, sea creatures and pirates.        
80101609;Movie  ;Theo Who Lived                                                                 ;David Shisgall                                                                                        ;;United States                                      ;December 16, 2016 ;2016;TV-14   ;86 min  ;Documentaries                                                    ;American journalist Theo Padnos retraces the Middle Eastern journey that led to his 2012 kidnapping and brutal torture by an al-Qaida faction.             
80101826;TV Show;LoliRock                                                                       ;;Kazumi Evans, Kelly Sheridan, Vincent Tong, Ashleigh Ball, Tabitha St. Germain, Mackenzie Gray, Matt Ellis, James Kirk, Chiara Zanni                                                                                                                 ;South Korea, France                                ; May 1, 2018      ;2016;TV-Y    ;2 Season;Kids' TV                                                         ;A teenager with a beautiful voice becomes a pop star but discovers she has powers that come from a magical realm where she's a lost princess.              
80101827;Movie  ;The White Helmets                                                              ;Orlando von Einsiedel                                                                                 ;;United Kingdom                                     ;September 16, 2016;2016;TV-14   ;41 min  ;Documentaries                                                    ;As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble.           
80101903;Movie  ;Mark Gatiss: A Study in Sherlock                                               ;Nathan Landeg                                                                                         ;Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves, Mark Gatiss, Steven Moffat                                                                                                                                                          ;;May 1, 2016       ;2016;TV-14   ;29 min  ;Movies                                                           ;Mark Gatiss, who co-created “Sherlock�? and plays Mycroft Holmes, discusses the show with Benedict Cumberbatch, Martin Freeman and others in the cast.  
80102160;TV Show;Stories by Rabindranath Tagore                                                 ;Anurag Basu                                                                                           ;;India                                              ;July 5, 2018      ;2015;TV-14   ;1 Season;International TV Shows, TV Dramas                                ;The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.                          
80102162;TV Show;Raja Rasoi Aur Anya Kahaniyan                                                  ;;;India                                              ;July 5, 2018      ;2014;TV-G    ;1 Season;Docuseries, International TV Shows                               ;Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.                          
80102266;TV Show;Dharmakshetra                                                                  ;;Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai                                                                                                              ;India                                              ;July 5, 2018      ;2014;TV-14   ;1 Season;International TV Shows, TV Dramas, TV Sci-Fi & Fantasy           ;After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.                             
80102549;TV Show;Off Camera                                                                     ;;Sam Jones                                                                                                                                                                                                                                            ;United States                                      ; June 1, 2017     ;2015;TV-MA   ;3 Season;Stand-Up Comedy & Talk Shows                                     ;Photographer, writer and director Sam Jones sets his famous guests at ease with his freewheeling, insightful celebrity interviews without agendas.         
80103006;TV Show;72 Dangerous Places to Live                                                    ;;Mitch Ryan                                                                                                                                                                                                                                           ;Australia                                          ;June 1, 2016      ;2016;TV-PG   ;1 Season;Docuseries, International TV Shows, Science & Nature TV          ;Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths.     
80103331;TV Show;Magi: Adventure of Sinbad                                                      ;;Daisuke Ono, Tomokazu Sugita, Takahiro Sakurai, Keiji Fujiwara, Akira Ishida, Katsuyuki Konishi, Yoko Hikasa, Ai Kayano, Takehito Koyasu, Hiroki Touchi                                                                                              ;Japan                                              ;July 14, 2016     ;2016;TV-14   ;1 Season;Anime Series, International TV Shows                             ;The Magi who became High King of the Seven Seas started as a boy determined to make the world a better place. He begins with a dangerous dungeon.          
80103470;TV Show;Hostages                                                                       ;;Jonah Lotan, Ayelet Zurer, Tomer Kapon, Micha Celektar, Dar Zuzovsky, Yoav Rotman, Mickey Leon, Hilla Vidor, Nevo Kimchi, Ido Bartal, Shmil Ben Ari, Liat Stern, Michal Kalman, Yoav Levi                                                            ;Israel                                             ; July 1, 2017     ;2016;TV-MA   ;2 Season;Crime TV Shows, International TV Shows, TV Dramas                ;The night before a surgeon is set to operate on a prime minister her family is held hostage by gunmen who insist she kill him or her family will die.      
80104022;TV Show;72 Cutest Animals                                                              ;;;Australia                                          ;June 1, 2016      ;2016;TV-G    ;1 Season;Docuseries, International TV Shows, Science & Nature TV          ;This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.              
80104041;Movie  ;Black Man White Skin                                                           ;Jose Manuel Colón                                                                                    ;;Spain                                              ;June 1, 2016      ;2015;TV-14   ;79 min  ;Documentaries, International Movies                              ;This film chronicles the health and social problems that African albinos face and details the fight waged on their behalf by advocacy groups in Spain.     
80104198;TV Show;Lost in Space                                                                  ;;Molly Parker, Toby Stephens, Max Jenkins, Taylor Russell, Mina Sundwall, Parker Posey, Ignacio Serricchio                                                                                                                                            ;United States                                      ;April 13, 2018    ;2018;TV-PG   ;1 Season;TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy            ;After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers.       
80104318;Movie  ;Silicon Cowboys                                                                ;Jason Cohen                                                                                           ;;United States                                      ;April 1, 2017     ;2016;TV-PG   ;77 min  ;Documentaries                                                    ;This documentary tells the story of Compaq Computer and its three founders, who in 1982, took on Goliath IBM at the height of its PC dominance.            
80104622;TV Show;NSU German History X                                                           ;;Anna Maria Mühe, Albrecht Schuch, Sebastian Urzendowsky, Almila Bagriacik, Tom Schilling, André Hennicke, Florian Lukas, Liv Lisa Fries, Sylvester Groth, Florian Stetter, Nina Gummich, Jonas Leonhardi, Ben Münchow, Maximilian Jaenisch        ;Germany                                            ;July 7, 2016      ;2016;TV-MA   ;1 Season;Crime TV Shows, International TV Shows, TV Dramas                ;After German reunification, the neo-Nazi National Socialist Underground begins a killing spree while cops fight an uphill battle to catch them.            
80104950;TV Show;Deep                                                                           ;;Patrick Ridremont, Olivier Chantreau, Pénélope Leveque, Emmanuelle Meyssignac, Salem Kali, Yann Sundberg, Victor Viel, Victor Pontecorvo, Pierre Benoist, Swann Arlaud, Phénix Brossard, Eriq Ebouaney, Tony Harrisson                            ;France                                             ;July 1, 2016      ;2016;TV-MA   ;1 Season;Crime TV Shows, International TV Shows, TV Dramas                ;As he grapples with a life-threatening illness, a police investigator tracks the explosion of a new synthetic drug on the streets of Paris.                
80104983;TV Show;Crazyhead                                                                      ;;Cara Theobold, Susan Wokoma, Riann Steele, Arinzé Kene, Lewis Reeves, Tony Curran                                                                                                                                                                   ;United Kingdom                                     ;December 16, 2016 ;2016;TV-MA   ;1 Season;British TV Shows, International TV Shows, TV Comedies            ;Bowling alley worker Amy and nonconformist Raquel kick some serious demon butt while also facing their inner demons as they navigate their early 20s.      
80105030;TV Show;Bad Education                                                                  ;;Jack Whitehall, Mathew Horne, Sarah Solemani, Michelle Gomez, Nikki Runeckles, Kae Alexander, Layton Williams, Ethan Lawrence, Charlie Wernham, Jack Binstead, Jack Bence, Harry Enfield                                                             ;United Kingdom                                     ; December 15, 2018;2014;TV-MA   ;3 Season;British TV Shows, TV Comedies                                    ;A history teacher at the posh Abbey Grove, Alfie Wickers is something truly special: He's his school's, if not England's, single worst educator.           
80105085;TV Show;Gentlemen and Gangsters                                                        ;;David Dencik, Ruth Vega Fernandez, David Fukamachi Regnfors, Sverrir Gudnason, Andreas Kundler, Sven Nordin, Boman Oscarsson, Lars Green, Sebastian Sporsén, Amanda Ooms, Magnus Krepper, Peter Carlberg, Peter Bergared, Christopher Wagelin, Lars ;Sweden                                             ;June 1, 2016      ;2016;TV-MA   ;1 Season;Crime TV Shows, International TV Shows, Romantic TV Shows        ;Now on the run, a writer relates his previous year's escapades when he got sucked into the thrilling, sordid orbit of boxer and jazz man Henry Morgan.     
80105356;Movie  ;Alive and Kicking                                                              ;Susan Glatzer                                                                                         ;;Sweden, United States                              ;August 10, 2017   ;2016;TV-14   ;89 min  ;Documentaries                                                    ;Take an inside look at swing dancing's continued prosperity and the lively and joyous personalities that make the art form so unique.                      
80105452;TV Show;Slasher                                                                        ;;Katie McGrath, Brandon Jay McLaren, Steve Byers, Dean McDermott, Patrick Garrow, Jessica Sipos, Enuka Okuma, Leslie Hope, Lovell Adams-Gray, Christopher Jacot, Paulino Nunes, Ty Olsson, Joanne Vannicola, Sebastian Pigott, Madison Cheeatow, Melin;Canada, United Kingdom, United States              ; June 27, 2019    ;2019;TV-MA   ;3 Season;TV Horror, TV Mysteries, TV Thrillers                            ;Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.                            
80105699;TV Show;Travelers                                                                      ;;Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Paul Abrahamson, Reilly Dolman, Patrick Gilmore                                                                                                                                                ;Canada, United States                              ; December 14, 2018;2018;TV-MA   ;3 Season;Crime TV Shows, International TV Shows, TV Dramas                ;A federal agent tracks four people who suddenly seem to possess entirely new personalities, leading to a startling discovery about humanity's future.      
80105933;TV Show;LEGO Elves: Secrets of Elvendale                                               ;;Ashleigh Ball, Erin Mathews, Rebecca Husain, Kyle Rideout, Riley Murdock, Vincent Tong, Nicole Oliver, Scott McNeil, Kathleen Barr                                                                                                                   ;United States                                      ;September 1, 2017 ;2017;TV-Y7   ;1 Season;Kids' TV                                                         ;Armed with a powerful amulet, a teenage guardian is tasked with protecting her little sister – and all of Elvendale. Based on the popular web series.    
80106136;TV Show;Yo-Kai Watch                                                                   ;;Johnny Yong Bosch, J.W. Terry, Alicyn Packard, Melissa Hutchison, Pierre Holloway, Brent Pendergrass                                                                                                                                                 ;United States                                      ;April 1, 2016     ;2015;TV-Y7   ;1 Season;Anime Series, Kids' TV                                           ;Nate frees a mythical being trapped in a magic capsule, and the two new friends have adventures with all sorts of troublesome supernatural creatures.      
80106144;Movie  ;Children of God                                                                ;John Smithson                                                                                         ;;United Kingdom                                     ;August 1, 2016    ;1994;TV-MA   ;63 min  ;Documentaries                                                    ;A former member examines the lingering effects of being raised in the Family, a cult whose disturbing practices include the sexual abuse of children.      
80106150;TV Show;Cocaine                                                                        ;;;United Kingdom                                     ;August 1, 2016    ;2005;TV-14   ;1 Season;British TV Shows, Crime TV Shows, Docuseries                     ;Three films chronicle the cocaine trade's sweeping impact on the citizens of Peru, Brazil and Colombia, from poor farmers to powerful drug lords.          
80106265;TV Show;Pacific Heat                                                                   ;;Rob Sitch, Santo Cilauro, Tom Gleisner, Rebecca Massey, Lucia Mastrantone                                                                                                                                                                            ;Australia                                          ;December 2, 2016  ;2016;TV-14   ;1 Season;Crime TV Shows, TV Comedies                                      ;In this animated satire, a covert squad of operatives short on smarts but long on confidence tackles crime on the glitzy Gold Coast of Australia.          
80106307;Movie  ;Extremis                                                                       ;Dan Krauss                                                                                            ;;United States                                      ;September 13, 2016;2016;TV-PG   ;25 min  ;Documentaries                                                    ;Witness the wrenching emotions that accompany end-of-life decisions as doctors, patients and families in a hospital ICU face harrowing choices.            
80106338;TV Show;Edge of the Universe                                                           ;;;United Kingdom                                     ;August 1, 2016    ;2008;TV-G    ;1 Season;British TV Shows, Docuseries, Science & Nature TV                ;Leading astronomers reveal the latest discoveries about death-trap planets, asteroids, comets and other wonders of the cosmos.                             
80106611;TV Show;Love Cuisine                                                                   ;;Lego Lee, Allison Lin, Duncan Chow, Nita Lei, Hank Wu, Calvin Lee, Fu Lei                                                                                                                                                                            ;Taiwan                                             ;August 1, 2016    ;2015;TV-PG   ;1 Season;International TV Shows, Romantic TV Shows, TV Comedies           ;A successful Taiwanese chef moves home from Europe to teach at a cooking school. He soon clashes with a pretty teacher he met under odd circumstances.     
80106754;Movie  ;National Bird                                                                  ;Sonia Kennebeck                                                                                       ;;United States                                      ;May 8, 2017       ;2016;TV-MA   ;92 min  ;Documentaries                                                    ;Three former military operatives offer disturbing, firsthand accounts of the deadly impact that U.S. drone warfare has had on civilians overseas.          
80106791;Movie  ;Hitler - A Career                                                              ;Joachim Fest, Christian Herrendoerfer                                                                 ;;West Germany                                       ;February 10, 2017 ;1977;TV-MA   ;150 min ;Documentaries, International Movies                              ;This documentary examines how Adolf Hitler's talent for manipulation, psychology and image-making led him from humble origins to near-world conquest.      
80107077;TV Show;Cleverman                                                                      ;;Hunter Page-Lochard, Rob Collins, Deborah Mailman, Ryan Corr, Stef Dawson, Iain Glen, Frances O'Connor, Tasma Walton, Tony Briggs                                                                                                                    ;Australia, New Zealand, United States              ; October 1, 2017  ;2017;TV-MA   ;2 Season;TV Dramas, TV Sci-Fi & Fantasy, TV Thrillers                     ;"In the near future, physically powerful beings known as ""Hairies"" struggle to survive in a segregated society dominated by hostile humans.                 "
80107369;TV Show;Queen of the South                                                             ;;Alice Braga, Veronica Falcón, Justina Machado, Peter Gadiot, Hemky Madera, Gerardo Taracena                                                                                                                                                         ;United States, Mexico, Spain, Malta                ; May 7, 2019      ;2018;TV-14   ;3 Season;Crime TV Shows, TV Action & Adventure, TV Dramas                 ;Forced to work for a cartel that recently killed her boyfriend, Teresa relies on her street smarts, a loyal pal and a mysterious notebook to survive.      
80107514;TV Show;Border Security: America's Front Line                                          ;;;Canada                                             ; January 1, 2020  ;2018;TV-14   ;2 Season;Crime TV Shows, International TV Shows, Reality TV               ;This reality series chronicles the behind-the-scenes action as U.S. Customs and Border Protection agents safeguard the nation's crossings and ports.       
80107656;Movie  ;Command and Control                                                            ;Robert Kenner                                                                                         ;;United States                                      ;May 15, 2017      ;2017;TV-PG   ;92 min  ;Documentaries                                                    ;Chronicling a 1980 Titan II missile accident, this sobering documentary weighs the balance of power and safety involving weapons of mass destruction.      
80107987;Movie  ;Hitler's Olympics                                                              ;Daniel Kontur                                                                                         ;;United Kingdom                                     ;August 1, 2016    ;2016;TV-PG   ;44 min  ;Documentaries, Sports Movies                                     ;Hitler, Nazi propaganda and 1936 Berlin Olympics are put under the microscope to uncover hidden truths and the historical legacy of those games.           
80107990;TV Show;The Beginning of Life: The Series                                              ;Estela Renner                                                                                         ;;Brazil                                             ;November 11, 2016 ;2016;TV-PG   ;1 Season;Docuseries, International TV Shows, Science & Nature TV          ;Using breakthroughs in technology and neuroscience, this series examines how environment affects infants – and how infants can affect our future.        
80108147;Movie  ;How to Win the US Presidency                                                   ;Cal Saville                                                                                           ;;United States                                      ;August 1, 2016    ;2016;TV-PG   ;51 min  ;Documentaries                                                    ;This whimsical look at rough-and-tumble American politics examines the influence of money, religion and even ancient Rome on presidential campaigns.       
80108159;TV Show;Ask the StoryBots                                                              ;;Judy Greer, Erin Fitzgerald, Fred Tatasciore, Jeff Gill, Gregg Spiridellis, Evan Spiridellis                                                                                                                                                         ;United States                                      ; August 2, 2019   ;2019;TV-Y    ;3 Season;Kids' TV                                                         ;Five curious little creatures track down the answers to kids' biggest questions, like how night happens or why we need to brush our teeth.                 
80108373;TV Show;The Magic School Bus Rides Again                                               ;;Kate McKinnon, Miles Koseleci-Vieira, Mikaela Blake, Gabby Clarke, Leke Maceda-Rustecki, Matthew Mintz, Lynsey Pham, Birva Pandya, Kaden Stephen, Lily Tomlin                                                                                        ;United States                                      ; April 13, 2018   ;2018;TV-Y    ;2 Season;Kids' TV                                                         ;Ms. Frizzle's kid sister Fiona takes the wheel at Walkerville Elementary, leading the class on wild adventures packed with science-fueled fun.             
80108450;TV Show;El Vato                                                                        ;;El Dasa, Cristina Rodlo, Ricardo Polanco, Gustavo Egelhaaf, Mauricio Martínez, Itatí Cantoral, Arcelia Ramírez, Horacio Castelo, Fátima Molina, Leonardo Daniel, Giancarlo Vidrio, Mónica Dionne, Sebastián Ferrat, Mauricio Isaac, Aldo Gallar;United States                                      ; February 24, 2018;2017;TV-MA   ;2 Season;International TV Shows, Spanish-Language TV Shows, TV Comedies   ;Regional Mexican singer El Vato and his friends struggle to succeed in the enticing but deceptive music world in Los Angeles, California.                  
80108473;TV Show;La Esclava Blanca                                                              ;;Nerea Camacho, Orián Suárez, Miguel de Miguel, Modesto Lacen, Norma Martínez, Ricardo Vesga, Viña Machado, Andrés Suárez, Natasha Klauss, Miroslava Morales                                                                                    ;Colombia                                           ;August 1, 2016    ;2016;TV-14   ;1 Season;International TV Shows, Spanish-Language TV Shows, TV Dramas     ;In Colombia in 1821, a white orphan is taken in by black slaves. Years after being torn from them, she returns to find her family and childhood love.      
80108494;TV Show;Miss Rose                                                                      ;;Roy Chiu, Megan Lai, Paul Hsu, Tia Lee, Chunya Chao, Puff Kuo, Blaire Chang                                                                                                                                                                          ;Taiwan                                             ;August 1, 2016    ;2015;TV-14   ;1 Season;International TV Shows, Romantic TV Shows, TV Comedies           ;Resolving to get married soon, hardworking Si-yi finds love in an unexpected place, but her ex and her job interfere with her plans.                       
80108495;TV Show;Glitch                                                                         ;;Patrick Brammall, Genevieve O'Reilly, Emma Booth, Emily Barclay, Ned Dennehy, Sean Keenan, Hannah Monson, Aaron L. McGrath, John Leary, Rodger Corser, Andrew McFarlane, Luke Arnold, Rob Collins, Pernilla August                                   ;Australia                                          ; September 25, 201;2019;TV-MA   ;3 Season;International TV Shows, TV Dramas, TV Horror                     ;A police officer and a doctor face an emotionally charged mystery when seven local residents inexplicably return from the dead in peak physical form.      
80108610;Movie  ;Bugs                                                                           ;Andreas Johnsen                                                                                       ;;Netherlands, Denmark, France, Germany              ;February 20, 2018 ;2016;TV-G    ;73 min  ;Documentaries, International Movies                              ;A willing team of chefs and researchers goes on a gastronomic adventure around the globe to weigh the benefits of using bugs as a future food source.      
80108613;Movie  ;LoveTrue                                                                       ;Alma Har'el                                                                                           ;;United States                                      ;May 7, 2017       ;2016;TV-MA   ;82 min  ;Documentaries                                                    ;In this blend of documentary and dramatization, circumstances test notions of love held by a young stripper, a single-dad surfer and a teen musician.      
80108773;TV Show;Office Girls                                                                   ;;Roy Chiu, Alice Ko, Tia Lee, Patrick Lee, Kuo Shu-yao, James Wen, Janel Tsai                                                                                                                                                                         ;Taiwan                                             ;August 1, 2016    ;2011;TV-14   ;1 Season;International TV Shows, Romantic TV Shows, TV Comedies           ;A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live.     
80108844;TV Show;Queen of No Marriage                                                           ;;Ethan Juan, Cheryl Yang, Harry Chang, Sylvia Yang, James Wen, Patrick Lee                                                                                                                                                                            ;Taiwan                                             ;August 1, 2016    ;2009;TV-14   ;1 Season;International TV Shows, Romantic TV Shows, TV Comedies           ;Sparks begin to fly when a successful 33-year-old single woman and a 25-year-old romantic with few prospects navigate love and differences.                
80108846;TV Show;The Prince Who Turns into a Frog                                               ;;Joe Chen, Ming Dao, Sam Wang, Joyce Chao, Gino, Su Li-hsin, Wang Chuan, Ehlo Huang                                                                                                                                                                   ;Taiwan                                             ;August 1, 2016    ;2005;TV-14   ;1 Season;International TV Shows, Romantic TV Shows, TV Comedies           ;Before his wedding, a cold CEO is hit by a car and awakens a changed man. As he and the driver fall in love, more changes appear on the road ahead.        
80108847;TV Show;Two Fathers                                                                    ;;Weber Yang, Lin Yo-Wei, Megan Lai, Amanda Chou, Lucia Xie, Cherry Leung                                                                                                                                                                              ;Taiwan                                             ;August 1, 2016    ;2013;TV-14   ;1 Season;International TV Shows, Romantic TV Shows, TV Comedies           ;When two single guys learn a woman they both slept with disappeared after giving birth, they decide to raise her baby girl together as a family.           
80108985;TV Show;Caught on Camera                                                               ;;Nick Wallis                                                                                                                                                                                                                                          ;United Kingdom                                     ; August 15, 2016  ;2015;TV-14   ;3 Season;British TV Shows, Crime TV Shows, Docuseries                     ;Nick Wallis presents crimes caught on CCTV, cell phones and other devices and reveals how investigators use the recordings to solve tough cases.           
80108998;Movie  ;Real Crime: Supermarket Heist (Tesco Bomber)                                   ;;;United Kingdom                                     ;August 15, 2016   ;2010;TV-14   ;46 min  ;Documentaries                                                    ;In 2000, U.K. detectives spent months tracking a criminal known only as Sally, who was targeting a supermarket chain with extortion and letter bombs.      
80109038;TV Show;You're My Destiny                                                              ;;Joe Chen, Ethan Juan, Baron Chen, Bianca Bai, Wei-hsun Na, Tan Ai-Chen                                                                                                                                                                               ;Taiwan                                             ;August 1, 2016    ;2008;TV-14   ;1 Season;International TV Shows, Romantic TV Shows, TV Comedies           ;A young woman's romantic cruise ends in a twist when she gets pregnant after a one-night stand with a rich executive, turning their lives upside down.     
80109194;TV Show;Shooter                                                                        ;;Ryan Phillippe, Omar Epps, David Marciano, Cynthia Addai-Robinson, Shantel VanSanten, Tom Sizemore                                                                                                                                                   ;United States                                      ; June 21, 2019    ;2018;TV-MA   ;3 Season;Crime TV Shows, TV Action & Adventure, TV Dramas                 ;A highly decorated ex-Marine sniper returns to action to foil an assassination plot targeting the president, but soon finds himself framed for murder.     
80109399;TV Show;Kibaoh Klashers                                                                ;;Ben Diskin, Cherami Leigh, Dakota Basseri, Keith Silverstein, Johnny Yong Bosch, Lucien Dodge, Jamie Simone, Nicolas Roye, Robbie Daymond, Michael Sorich                                                                                            ;China                                              ; October 6, 2017  ;2017;TV-Y7   ;2 Season;Kids' TV                                                         ;Young beetle Dylan and his friends Hailey and Ollie team up to compete against tough opponents in the exciting, high-octane sport of Battle Blading.       
80109415;TV Show;Gilmore Girls: A Year in the Life                                              ;;Lauren Graham, Alexis Bledel, Kelly Bishop, Scott Patterson, Yanic Truesdale, Matt Czuchry, Liza Weil, Milo Ventimiglia, Sean Gunn, Keiko Agena, Rose Abdoo, Melissa McCarthy                                                                        ;United States                                      ;November 25, 2016 ;2016;TV-14   ;1 Season;TV Comedies, TV Dramas, Teen TV Shows                            ;Set nearly a decade after the finale of the original series, this revival follows Lorelai, Rory and Emily Gilmore through four seasons of change.          
80109535;TV Show;The Cuba Libre Story                                                           ;;;France, Germany                                    ;December 8, 2016  ;2015;TV-14   ;1 Season;Docuseries, International TV Shows                               ;This documentary series recounts the tumultuous history of Cuba, a nation of foreign conquest, freedom fighters and Cold War political machinations.       
80109536;TV Show;Skin Wars                                                                      ;;Rebecca Romijn, RuPaul, Robin Slonina, Craig Tracy                                                                                                                                                                                                   ;United States                                      ; October 1, 2016  ;2016;TV-14   ;3 Season;Reality TV                                                       ;Artists test their creativity and body painting skills as they face off in a series of elaborate challenges, vying for a grand prize of $100,000.          
80109551;Movie  ;Struggle: The Life and Lost Art of Szukalski                                   ;Irek Dobrowolski                                                                                      ;;Poland, United States                              ;December 21, 2018 ;2018;TV-MA   ;105 min ;Documentaries                                                    ;Artists in LA discover the work of forgotten Polish sculptor Stanislav Szukalski, a mad genius whose true story unfolds chapter by astounding chapter.     
80109640;TV Show;Battlefield Recovery                                                           ;;;United Kingdom                                     ;August 1, 2016    ;2016;TV-PG   ;1 Season;British TV Shows, Docuseries, Reality TV                         ;A four-man team heads to Latvia and Poland to unearth rare World War II artifacts and shed new light on the bloody battles of the Eastern Front.           
80111273;TV Show;Game Winning Hit                                                               ;;Lego Lee, Alice Ko, Afalean Lu, Tsai Chen-nan, Wang Chuan, Leiya Gao, Charlize Lin                                                                                                                                                                   ;Taiwan                                             ;September 1, 2016 ;2009;TV-PG   ;1 Season;International TV Shows, TV Comedies, TV Dramas                   ;An army deserter hiding out in a small coastal town becomes the coach of a youth baseball team and develops warm relationships in his new community.       
80111275;TV Show;The Year of Happiness and Love                                                 ;;Amber Kuo, James Wen, Weber Yang, Sonia Sui, Nien-Jen Wu, Kay Huang, Tsai Chen-nan, Lin Mei-hsiu                                                                                                                                                     ;Taiwan                                             ;September 1, 2016 ;2009;TV-14   ;1 Season;International TV Shows, Romantic TV Shows, TV Comedies           ;Jiang Chen-bo is a loser without prospects for success, until a surprise promotion becomes the catalyst for his entire family's upturn in fortune.         
80111554;TV Show;Love Cheque Charge                                                             ;;George Hu, Phoebe Yuan, Hsieh Kun Da, Jay Shih, Smile Weng, Jet Chao, Jessie Chang                                                                                                                                                                   ;Taiwan                                             ;October 1, 2016   ;2014;TV-14   ;1 Season;International TV Shows, Romantic TV Shows, TV Comedies           ;Three years after making a wild promise to a woman in distress, a rigid businessman runs into her again and must decide whether to honor his word.         
80111556;TV Show;Murphy's Law of Love                                                           ;;Danson Tang, Chia-ying Lee, Jolin Chien, Jenna Wang, Meng-sheng Shen, Wen-lin Fang, Wei Lin, Phoebe Huang                                                                                                                                            ;Taiwan                                             ;October 1, 2016   ;2015;TV-14   ;1 Season;International TV Shows, Romantic TV Shows, TV Comedies           ;An online matchmaker who's convinced she's living under a curse finds her theories on life and love tested when she meets a shrewd divorce expert.         
80111614;TV Show;The Womanizer                                                                  ;;Lan Cheng-lung, Sonia Sui, James Wen, Bianca Bai, George Chang, Chung Hsin-ling, Tzu-chiang Chao, Xiao Xiao Bin                                                                                                                                      ;China                                              ;September 1, 2016 ;2010;TV-PG   ;1 Season;International TV Shows, Romantic TV Shows, TV Comedies           ;Libertine He-jie finds himself torn between the lovely Amanda and fiery Xiao-qian. But now he faces a new problem: arrogant rival suitor Cheng-en.         
80111650;TV Show;Fall in Love with Me                                                           ;;Aaron Yan, Tia Lee, Jack Lee, Katherine Wang, Beatrice Fang, Vince Kao, Chen Bor Jeng                                                                                                                                                                ;Taiwan                                             ;October 1, 2016   ;2014;TV-14   ;1 Season;International TV Shows, Romantic TV Shows, TV Comedies           ;The head of a struggling ad agency finds herself torn between a hotshot executive and a kind stranger – not realizing they're the same person.           
