"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras";"Ano Abertura";"Estab.Saudável&Seguro";"Aloja Estudantes 2020/21 - Medidas Covid-19"
"Estabelecimento Hoteleiro - Hotel";"9346";"Tipografia do Conto";"Tipografia do Conto";"****";"Classificado em projeto";"18";"10";"2";"Rua Álvares Cabral, 28";"4050-040";"Porto";"Porto";"Porto";"222081843";;"info@casadoconto.com";"www.casadoconto.com";"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"CASA DO CONTO LDA";;;"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9345";"Hotel Caju";"Hotel Caju";"****";"Classificado em auditoria";"46";"24";"1";"Rua da Carreira, 112";"9000-042";"Funchal";"Funchal";"Ilha da Madeira";"291 009400";"n/d";"management@hotelcaju.com";"www.hotelcaju.com";"Secretaria Regional da Economia, Turismo e Cultura da Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Sim";"Não";"Não";;;"Cajutur, Gestão e Exploração Hoteleira Unipessoal";;"2020";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9344";"Cristo Rei";"Hotel Cristo Rei 6";"*";"Classificado em projeto";"29";"27";"1";"Rua Dr Alves da Veiga 21";"4000-073";"Porto";"Porto";"Porto";"936323923";;"rcrei@sapo.pt";"www.residencialcristorei.net";"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Fernandes de Almeida, Unipessoal, Lda";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9343";"Pink House";"Pink House";;"Classificado em auditoria";"7";"4";"0";"Rua José Medeiros Cogumbreiro, 67 cx.99";"9500-459";"Ponta Delgada";"Ponta Delgada";"Ilha de São Miguel";"967285621";;"pinkhouseazores@gmail.com";"https://pinkhouseazores.pt/";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Sim";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Harmonia Periférica, Unip Lda";"Programa de Desenvolvimento Rural (PRODER), ";"2017";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9341(Em análise pelo Turismo de Portugal, I.P.)";"T&T Alentejo";;;"Classificado em projeto";"4";"1";"0";"Herdade da Aldeia do Rebocho Apartado 22";"7040-610";"Vimieiro Arl";"Arraiolos";"Évora";"938504262";;"taniasantos@tt-ocean.com";"www.tt-ocean.com";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"T  T EVENTS - EVENTOS E ARREDAMENTOS PARA FERIAS";;;"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9340(Em análise pelo Turismo de Portugal, I.P.)";"Quinta da Florência";"Quinta da Florência";;"Classificado em projeto";"6";"6";"0";"Quinta da Florência, Aldeia Formosa";"3405-392";"Seixo da Beira";"Oliveira do Hospital";"Coimbra";"912894410";;"info@quintadaflorencia.com";"www.quintadaflorencia.com";"Turismo do Centro de Portugal";"Centro";"Região de Coimbra";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ARMB - TURISMO E EVENTOS LDA";;"2008";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9338";"Casas da Quinta - Douro - Amarela";"Casas da Quinta - Douro - Amarela";;"Classificado em auditoria";"8";"4";"0";"Quinta da Casa Amarela";"5100-421";"Cambres";"Lamego";"Viseu";"962621661";;"quinta@quinta-casa-amarela.com";"www.quinta-casa-amarela.com";"Turismo do Porto e Norte de Portugal";"Norte";"Douro";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"LAURA VALENTE REGUEIRO LDA";"Programa de Desenvolvimento Rural (PRODER), ";"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9337";"Casa Borlido";;;"Classificado em projeto";"8";"4";"1";"Rua Casaldeite n° 300";"4990-730";"Sá Ptl";"Ponte de Lima";"Viana do Castelo";"0033 633381548";;"silva.diogo88@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"BORLIDO & SILVA lda";;"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9336";"Métier Boutique Hotel";"Métier Boutique Hotel";"*";"Classificado em auditoria";"30";"15";"0";"Rua Latino Coelho, 244";"4000-314";"Porto";"Porto";"Porto";"227664840";;"info@metierboutiquehotel.pt";"www.metierboutiquehotel.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Dual Hotel´s";;"2020";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9335";"Moxy Lisboa Oriente";"Moxy Lisboa Oriente";"***";"Classificado em projeto";"353";"222";"3";"Avenida Aquilino Ribeiro Machado, 10, Parque das Nações";"1800-399";"Lisboa";"Lisboa";"Lisboa";"210488350";"217930631";"geral@hotihoteis.com";"www.marriott.pt";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Sim";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Sim";"Não";"Não";;;"KHPI - HOTEL MANAGEMENT S A";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9333";"Casa Abrigo do Lagar";;;"Classificado em auditoria";"12";"6";"0";"Largo da Nossa Senhora da Abadia Bouro Santa Maria";"4720-643";"Bouro (Santa Maria)";"Amares";"Braga";"914120883";;"abrigodolagar@outlook.pt";;"Turismo do Porto e Norte de Portugal";"Norte";"Cávado";;"Não";"Nacional";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CONFRARIA NOSSA SENHORA ABADIA";;"2020";"Não";"Não"
"Apartamento Turístico";"9332";"Vinhas do Calhau";"Vinhas do Calhau";"****";"Classificado em auditoria";"12";"6";"1";"Porto do Calhau, nº 42";"9950-101";"Candelária Mad";"Madalena";"Ilha do Pico";"292241280";;"info@vinhasdocalhau.eu";"www.vinhasdocalhau.eu";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"RAMAL DO CALHAU, LDA";;"2018";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9330(Em análise pelo Turismo de Portugal, I.P.)";"Hotel Casa Hintze Ribeiro";;"****";"Classificado em projeto";"57";"22";"1";"Rua Hintze Ribeiro, 62";"9500-049";"Ponta Delgada";"Ponta Delgada";"Ilha de São Miguel";"296304340";;"geral@casahintzeribeiro.com";;"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"1";"Não";"0";"Sim";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"J. Dinis Neves Lda";;"2015";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Hotel Rural";"9328";"OLÍVALE Hotel Rural";"OLÍVALE Hotel Rural";"****";"Classificado em projeto";"10";"10";"1";"Quinta dos Pavoes";"7370-211";"Campo Maior";"Campo Maior";"Portalegre";"966656608";;"quintadospavoes@gmail.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alto Alentejo";;"Não";"---";"2";"Sim";"600";"Sim";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"VITOR MANUEL CANDEIAS CANHÃO";;"2020";"Não";"Não"
"Empreendimento de Turismo de Habitação";"9327";"Quinta da Ermida";;;"Por reconverter";"20";"10";"0";"Rua da Quinta da Ermida nº 248";"4640-460";"Santa Marinha do Zêzere";"Baião";"Porto";"962953913";;"turismoquintadaermida@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega e Sousa";;"Não";"Local";"0";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"QUINTA DA ERMIDA TURISMO DE HABITAÇÃO LDA";;"2002";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9326";"Retiro do Lago";"Retiro do Lago";;"Classificado em projeto";"4";"2";"1";"S. Cosme e S. Damião";"4970-555";"São Cosme e São Damião";"Arcos de Valdevez";"Viana do Castelo";"965042155";;"info@retirodolago.pt";"https://retirodolago.pt/";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"RETIRO DO LAGO LDA";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9325";"Quinta das Oliveiras";"Quinta das Oliveiras";;"Classificado em projeto";"12";"6";"1";"Insuas, Estrada da Peroviseu, 77, Valverde";"6230-801";"Valverde Fnd";"Fundão";"Castelo Branco";"926257327";;"carlostavaresrusso@gmail.com";;"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"0";"Sim";"50";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"MARIA ADELAIDE FOLGADO CARVALHO MARTINS";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9324";"Cicada Village";"Cicada Village";;"Classificado em projeto";"8";"4";"0";"Rua das 3 Torres";"4980-762";"Touvedo (São Lourenço)";"Ponte da Barca";"Viana do Castelo";"962195054";;"cicadavillage@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Arcada Selvagem\, LDA";"Programa de Desenvolvimento Rural (PRODER), ";"2020";"Não";"Não"
"Empreendimento de Turismo de Habitação";"9321";"Casa de Carcavelos";;;"Por reconverter";"10";"5";"0";"Basto (Santa Senhorinha)";"4860-108";"Basto";"Cabeceiras de Basto";"Braga";"253663182";;"reservas.casadecarcavelos@gmail.com";"www.casadecarcavelos.com";"Turismo do Porto e Norte de Portugal";"Norte";"Ave";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"Lucinda Odete Gonçalves de Moura Coutinho";;"2002";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9320";"In Gold Hotel & Spa";"In Gold Hotel & Spa";"****";"Classificado em projeto";"166";"83";"1";"Rua Manuel Sousa Carneiro, 25";"3750-160";"Águeda";"Águeda";"Aveiro";"234690170";;"direcao@ingoldhotel.pt";"https://www.ingoldhotel.pt";"Turismo do Centro de Portugal";"Centro";"Região de Aveiro";;"Não";"---";"1";"Sim";"125";"Sim";"Não";"Sim";"Não";"Não";"Não";"Não";;;"TERRAÇOS DO MIRANTE - ACTIVIDADES HOTELEIRAS, LDA";"Turismo de Portugal, I.P., ";"2018";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9319";"Porturama Bed & Breakfast";"Porturama Bed & Breakfast";;"Classificado em projeto";"10";"5";"1";"Quinta do Salgueiral nº 333";"3420-168";"Mouronho";"Tábua";"Coimbra";"969621480";;"porturama@outlook.com";"www.porturama.pt";"Turismo do Centro de Portugal";"Centro";"Região de Coimbra";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Porturama.LDA";;"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9318";"Hotel Terra Linda";"Hotel Terra Linda";"*";"Classificado em projeto";"44";"20";"0";"Rua Luis Jâcome. n.º 11-13-15";"4900-327";"Viana do Castelo";"Viana do Castelo";"Viana do Castelo";"936410964";;"adelaidelousinha@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Álbum de Tradições-Hotelaria e Restauração Lda";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9317";"Monte da Quinta";;;"Por reconverter";"10";"5";"0";"Monte da Quinta, Travessa das Fontainhas, ou Apartado 117";"7780-267";"Castro Verde";"Castro Verde";"Beja";"236233001";;"montedaquinta@yahoo.co.uk";"www.montedaquinta.eu";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Baixo Alentejo";;"Não";"de época";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Monte da Quinta";;"2006";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9316";"Quinta dos Carqueijais";;;"Classificado em auditoria";"26";"13";"1";"Lugar do Assento - Valdosende";"4845-043";"Valdosende";"Terras de Bouro";"Braga";"912540886";;"henrique@centromedicodentario.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Cávado";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"DESAFIOS DO BOSQUE UNIPESSOAL LDA";;"2013";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9314";"Aroeira Lisbon Hotel - Sea & Golf";"Aroeira Lisbon Hotel";"****";"Classificado em projeto";"143";"68";"1";"Av. Pinhal da Aroeira, nº 1";"2820-112";"Charneca da Caparica";"Almada";"Setúbal";"912614199";;"margarida.vasconcelos@aroeiralisbonhotel.com";"www.aroeiralisbonhotel.com";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Não";"---";"2";"Sim";"100";"Sim";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Imofind - Investimentos Imobiliários, Lda";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9308";"Casa Grande Vale";"Casa Grande Vale";;"Classificado em auditoria";"8";"4";"1";"Sitio Vilarinha- Casa Grande Vale, CP 540E";"8375-030";"S Bartolomeu de Messines";"Silves";"Faro";"2820330303";;"marcmaes.61maes@gmail.com";;"Região de Turismo do Algarve";"Algarve";"Algarve";;"Não";"---";"0";"Sim";"8";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Marc Leon Helena Maes";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9302(Em análise pelo Turismo de Portugal, I.P.)";"Casas da Antónia";;;"Classificado em auditoria";"11";"8";"0";"Rua Padre Alberto Pinto Faria, 45";"4925-199";"Meixedo Vct";"Viana do Castelo";"Viana do Castelo";"964326362";;"casasdaantonia@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"Jaime de Castro Lima";"Outra, ";"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9300";"Casas Valleparaizo - Castanha";"Casas Valleparaizo - Castanha";;"Classificado em auditoria";"6";"3";"3";"Estrada Regional 102, nr. 161, Vale Paraiso, Camacha";"9135-060";"Camacha";"Santa Cruz";"Ilha da Madeira";"962939357";;"info@valleparaizo.com";"www.valleparaizo.com";"Secretaria Regional da Economia, Turismo e Cultura da Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Mountain Lodges - Empreendimentos Turísticos, Lda";;"1998";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9298";"Valhelhas Camping";"Valhelhas Camping";"Sem atribuição de *";"Por reconverter";"440";"0";"0";"Parque de Campismo de Valhelhas";"6300-235";"Valhelhas";"Guarda";"Guarda";"927464301";;"geral@valhelhascamping.com";"www.valhelhascamping.com";"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";"2020-09-30->2020-12-31 Ano em causa:2020, 2021-01-01->2021-04-30 Ano em causa:2021, ";"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Universalcare lda";;"1993";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9291";"Quinta da Soneca";;;"Classificado em auditoria";"12";"6";"1";"Estrada Municipal 508";"7250-101";"Alandroal";"Alandroal";"Évora";"934359390";;"nrequixa@gmail.com";"www.quintadasoneca.pt";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";"2021-01-11->2021-02-11 Ano em causa:2021, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Terra Benevolente, Lda";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Hotel Rural";"9289";"Hotel Rural Quinta do Juncal";"Hotel Rural Quinta do Juncal";"***";"Classificado em projeto";"20";"10";"0";"Estrada Nacional 114";"2525-801";"Serra D'El Rei";"Peniche";"Leiria";"262148228";;"eventos@quintadojuncal.pt";"www.quintadojuncal.pt";"Turismo do Centro de Portugal";"Centro";"Oeste";"2021-01-02->2021-01-31 Ano em causa:2021, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Sim";;;"QUINTA DO JUNCAL TURISMO E LAZER LDA";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9288";"Isatour - Natural Park House";"isatour ecotourism";;"Classificado em auditoria";"8";"6";"2";"Rua do Salgueiro S/ N";"3670-210";"Ventosa Vzl";"Vouzela";"Viseu";"968185511";;"isadacosta@sapo.pt";"www.isatour.pt";"Turismo do Centro de Portugal";"Centro";"Região Viseu - Dão Lafões";;"Não";"---";"0";"Não";"0";"Sim";"Sim";"Não";"Não";"Não";"Não";"Não";"Biosphere Portugal";"Biosphere Portugal";"ISABEL FERNANDA COSTA UNIPESSOAL LIMITADA";"Turismo de Portugal, I.P., ";"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9283";"Vila Lira";;;"Classificado em auditoria";"18";"9";"1";"Sítio da Azia, Caixa Postal 81C Azia";"8670-411";"Rogil";"Aljezur";"Faro";"918473339";;"duarte.fabiodavid@gmail.com";;"Região de Turismo do Algarve";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"FABIO DAVIDE RODRIGUES DUARTE";"Outra, ";"2020";"Não";"Não"
"Aldeamento Turístico";"9282";"Heights II Peralta Beach";"PB";"***";"Classificado em projeto";"60";"10";"1";"Rua Terras do Mar nº2 Empreendimento Heights II Montoito";"2530-057";"Atalaia Lnh";"Lourinhã";"Lisboa";"261469679";;"roopali@altmer.pt";"https://www.portugal-holiday-rental.com/";"Turismo do Centro de Portugal";"Centro";"Oeste";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ALTMER TURISMO LDA";;"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9275";"Hotel da Vila";"Hotel da Vila";"**";"Classificado em auditoria";"26";"16";"1";"Rua Dr Esteves de Carvalho, n.º 4";"6260-130";"Manteigas";"Manteigas";"Guarda";"963968013";;"geral@hoteldavila.pt";"www.hoteldavila.pt";"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"LUIS JORGE PALITO VINAGRE";"Programa Operacional Regional do Centro, ";"2020";"Sim";"Não"
"Empreendimento de Turismo de Habitação";"9273";"Casa de Nossa Senhora da Piedade";"Casa de N.S. da Piedade";;"Classificado em auditoria";"10";"5";"0";"Rua do Cruzeiro 67";"4990-019";"Ponte de Lima";"Ponte de Lima";"Viana do Castelo";"962521844";;"info@casadapiedade.pt";"Http://casadapiedade.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"Público";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"MARIA DO ROSARIO COSTA PINTO DE CASTELO BRANCO TE";;;"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9272";"Ibis Porto Centro Mercado do Bolhão";"ibis";"***";"Classificado em projeto";"119";"89";"1";"Rua Sá da Bandeira, 567 2º";"4000-437";"Porto";"Porto";"Porto";"227669100";;"ha7j9@accor.com";"https://all.accor.com/hotel/A7J9/index.pt.shtml?da";"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CATALOGNEMANIA PORTO LDA";"Programa Operacional Regional do Norte, ";"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9270";"Casa Retiro de Xisto II";;;"Classificado em projeto";"4";"2";"0";"Rua da igreja";"6300-245";"Videmonte";"Guarda";"Guarda";"914381254";;"geral@casasretirodexisto.pt";;"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"MARIA DE LURDES ABRANTES AZEVEDO PROEN?A";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9269(Em análise pelo Turismo de Portugal, I.P.)";"Bagos do Vilar";"Bagos do Vilar";;"Classificado em projeto";"20";"14";"0";"R. de Alcântara - Vilar";"2550-069";"Vilar Cdv";"Cadaval";"Lisboa";"963876577";;"bagosdovilar@gmail.com";;"Turismo do Centro de Portugal";"Centro";"Oeste";;"Não";"---";"0";"Não";"0";"Sim";"Sim";"Não";"Não";"Não";"Não";"Não";;;"MACKAY PEREIRA UNIPESSOAL, LDA";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9268";"Casas do Sal";;;"Por reconverter";"20";"8";"0";"Herdade da Boavista";"7580-001";"Alcácer do Sal";"Alcácer do Sal";"Setúbal";"917692552";;"novascasasdosal@gmail.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Litoral";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"Casas do Sal";;;"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9264";"Quinta das Alfambras";"Quinta das Alfambras";;"Classificado em auditoria";"18";"9";"0";"Charneca Monte das Moças - Francelho Caixa Postal 551 Monte Ruivo";"8670-143";"Bordeira";"Aljezur";"Faro";"962349211";;"alves.paulo.f@gmail.com";;"Região de Turismo do Algarve";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"CELIA ALVES  PAULO ALVES LDA";;"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9251";"Caléway Hotel";;"****";"Classificado em projeto";"52";"26";"1";"Rua Cândido dos Reis, 182-184";"4400-070";"Vila Nova de Gaia";"Vila Nova de Gaia";"Porto";"222440810";;"olivia@calewayhotel.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";;"Não";"---";"1";"Sim";"45";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Jardim Hotel de Santa Marinha S.A.";"Outra, ";"2019";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9245";"Quinta Matias";;;"Por reconverter";"18";"6";"1";"Alfontes - Boliqueime";"8100-062";"Boliqueime";"Loulé";"Faro";"939303874";;"terita065@gmail.com";"www.quintamatias.com";"Região de Turismo do Algarve";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ARMENIO MATIAS FERNANDES HERDEIROS";"Turismo de Portugal, I.P., ";"2002";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9244";"Casa do Forno";"Casas de Calcário";;"Classificado em auditoria";"2";"1";"0";"Rua Senhora da Orada";"3240-670";"Santiago da Guarda";"Ansião";"Leiria";"964765612";;"casasdecalcario@panoramasecircuitos.pt";;"Turismo do Centro de Portugal";"Centro";"Região de Leiria";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"PANORAMAS E CIRCUITOS, UNIPESSOAL LDA";"Programa Operacional Regional do Centro, ";"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9243";"Casa das Pombas";"Casas de Calcário";;"Classificado em auditoria";"4";"2";"0";"Rua Senhora da Orada, S/N";"3240-670";"Santiago da Guarda";"Ansião";"Leiria";"964765612";;"casasdecalcario@panoramasecircuitos.pt";;"Turismo do Centro de Portugal";"Centro";"Região de Leiria";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"PANORAMAS E CIRCUITOS, UNIPESSOAL LDA";"Programa Operacional Regional do Centro, ";"2020";"Não";"Não"
"Parque de Campismo e/ou Caravanismo";"9240(Em análise pelo Turismo de Portugal, I.P.)";"Parque de Campismo de Belinho - Associacao Recreativa e Cultural "Os Belinhenses"";"Parque de Campismo Belinho";"***";"Classificado em projeto";"140";"0";"0";"Caminho da Neves, 200";"4740-161";"Belinho";"Esposende";"Braga";"253817416";;"geral@belinhenses.com";"www.belinhenses.com";"Turismo do Porto e Norte de Portugal";"Norte";"Cávado";;"Não";"---";"1";"Sim";"30";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ASSOCIA??O RECREATIVA E CULTURAL OS BELINHENSES";;"2008";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9228";"Casa do Rio";;;"Classificado em auditoria";"4";"2";"0";"Rua da Lagoa 7";"5300-821";"Rio de Onor";"Bragança";"Bragança";"933211152";;"casarionor@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Terras de Trás-os-Montes ";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"JOSE DOS INOCENTES GON?ALVES";"Programa de Desenvolvimento Rural (PRODER), ";"2020";"Não";"Não"
